component,explained_variance_ratio,cumulative
1,0.33613876491956396,0.33613876491956396
2,0.14945126742254594,0.4855900323421099
3,0.10900990423298741,0.5945999365750974
4,0.08670773473032199,0.6813076713054194
5,0.06822846931461674,0.749536140620036
6,0.049661759920438774,0.7991979005404748
7,0.03719536384046803,0.8363932643809429
8,0.03511018499739796,0.8715034493783408
9,0.029473376485155533,0.9009768258634964
10,0.018718864534983223,0.9196956903984795
