k,wcss
1,152195.8413255929
2,101457.71180841589
3,85831.623168986
4,75477.43257929779
5,64833.628536574775
6,56780.051540787594
7,51169.21561615323
8,47055.56400756736
9,43346.25420086343
10,40038.27589579365
