method,k,silhouette,davies_bouldin,calinski_harabasz,clusters
KMeans,4.0,0.4012770959495226,1.2838774119574348,2436.410718815421,
Agglomerative,4.0,0.36635461297402033,1.4992482709043098,2366.500634617355,
DBSCAN,,-0.43427155326959244,1.488036316594695,23.27241259669343,44.0
